From,To,Distance,Time,
Zaanstad,Amsterdam,29.1,35,
Zaanstad,Haarlem,34.9,60,
Zaanstad,Schiphol,33,34,
Schiphol,Leiden,27.1,32,
Leiden,Den Haag,21.4,36,
Leiden,Zoetermeer,13.3,29,
Den Haag,Delft,12,33,
Delft,Rotterdam,15.8,28,
Rotterdam,Spijkenisse,20.8,24,
Amsterdam,Utrecht,53.7,67,
Utrecht,Dordrecht,59,63,
Delft,Vlaardingen,15.7,24,
Schiphol,Alphen aan de Rijn,29.3,36,
Alphen aan de Rijn,Gouda,35,17,
Amsterdam,Woerden,46.6,63,
Schiphol,Utrecht,48.8,58,
Amsterdam,Hilversum,35.8,55,
Amsterdam,Almere,34.6,45,
Hilversum,Amersfoort,27.0,35.5,
Utrecht,Woerden,26.7,35.5,
Amersfoort,Utrecht,24.9,38,
Woerden,Gouda,22.8,32,
Woerden,Alphen aan de Rijn,21.9,24,
